Swim Date,Swim Title,Swim Start Time,Swim End Time,Activity Variant,Pool Size,HR Device,Device,Location,Firmware
11/12/2024,,12:29:36PM,12:56:53PM,pool,50,oh1,goggles,,3.4.153

Swim Date,Swim Time,Set #,Set,Interval (m),Length (m),Strk,Move Time,Rest Time,Cumul Time,Len,Dist (m),Cumul Dist (m),Avg DPS,Avg BPM (moving),Max BPM,Min BPM (resting),Pace/100,Pace/50,SWOLF,Avg Strk Rate (strk/min),Strk Count,Avg Strk Count/Len,Calories
11/12/2024,12:29:36PM,1,2x100,100,50,FR,0:57.53,0:00.00,0:57.53,1,50,50,1.04,142,159,0,1:55.08,0:57.54,104,51,46,46,11
11/12/2024,12:30:33PM,1,2x100,100,50,FR,1:08.14,0:00.00,2:05.67,1,50,100,0.89,163,170,0,2:16.24,1:08.12,123,51,55,55,16
11/12/2024,12:31:42PM,1,2x100,100,0,REST,0:00.00,0:06.09,2:11.76,1,0,100,0,0,170,170,0:00.00,0:00.00,0,0,0,0,0
11/12/2024,12:31:48PM,1,2x100,100,50,FR,1:03.59,0:00.00,3:15.36,1,50,150,0.89,173,175,0,2:07.23,1:03.61,117,51,53,53,17
11/12/2024,12:32:51PM,1,2x100,100,50,FR,1:10.42,0:00.00,4:25.77,1,50,200,0.82,175,178,0,2:20.84,1:10.42,129,51,59,59,19
11/12/2024,12:34:02PM,1,2x100,100,0,REST,0:00.00,0:08.22,4:34.00,1,0,200,0,0,178,177,0:00.00,0:00.00,0,0,0,0,1
11/12/2024,12:34:10PM,2,16x50,50,50,FR,1:05.39,0:00.00,5:39.39,1,50,250,0.85,178,180,0,2:10.72,1:05.36,120,51,55,55,18
11/12/2024,12:35:15PM,2,16x50,50,0,REST,0:00.00,0:12.22,5:51.60,1,0,250,0,0,178,176,0:00.00,0:00.00,0,0,0,0,1
11/12/2024,12:35:27PM,2,16x50,50,50,FR,1:08.22,0:00.00,6:59.82,1,50,300,0.84,177,179,0,2:16.43,1:08.21,124,50,56,56,18
11/12/2024,12:36:36PM,2,16x50,50,0,REST,0:00.00,0:24.74,7:24.56,1,0,300,0,0,179,178,0:00.00,0:00.00,0,0,0,0,2
11/12/2024,12:37:00PM,2,16x50,50,50,FR,1:07.38,0:00.00,8:31.94,1,50,350,0.88,174,178,0,2:14.77,1:07.39,120,49,53,53,17
11/12/2024,12:38:08PM,2,16x50,50,0,REST,0:00.00,0:08.15,8:40.09,1,0,350,0,0,177,176,0:00.00,0:00.00,0,0,0,0,1
11/12/2024,12:38:16PM,2,16x50,50,50,FR,1:05.89,0:00.00,9:45.97,1,50,400,0.88,178,181,0,2:11.75,1:05.88,120,50,54,54,18
11/12/2024,12:39:22PM,2,16x50,50,0,REST,0:00.00,0:28.07,10:14.05,1,0,400,0,0,181,178,0:00.00,0:00.00,0,0,0,0,2
11/12/2024,12:39:50PM,2,16x50,50,50,FR,1:02.45,0:00.00,11:16.50,1,50,450,0.92,172,177,0,2:04.84,1:02.42,114,50,52,52,17
11/12/2024,12:40:52PM,2,16x50,50,0,REST,0:00.00,0:11.11,11:27.61,1,0,450,0,0,177,177,0:00.00,0:00.00,0,0,0,0,1
11/12/2024,12:41:03PM,2,16x50,50,50,FR,1:04.06,0:00.00,12:31.67,1,50,500,0.92,178,180,0,2:08.04,1:04.02,117,51,53,53,17
11/12/2024,12:42:08PM,2,16x50,50,0,REST,0:00.00,0:39.43,13:11.10,1,0,500,0,0,180,164,0:00.00,0:00.00,0,0,0,0,2
11/12/2024,12:42:47PM,2,16x50,50,50,FR,1:06.83,0:00.00,14:17.93,1,50,550,0.87,168,172,0,2:13.69,1:06.84,121,50,54,54,17
11/12/2024,12:43:54PM,2,16x50,50,0,REST,0:00.00,0:09.12,14:27.05,1,0,550,0,0,172,172,0:00.00,0:00.00,0,0,0,0,1
11/12/2024,12:44:03PM,2,16x50,50,50,FR,1:06.28,0:00.00,15:33.33,1,50,600,0.87,176,181,0,2:12.63,1:06.31,121,50,55,55,18
11/12/2024,12:45:09PM,2,16x50,50,0,REST,0:00.00,0:18.28,15:51.61,1,0,600,0,0,180,179,0:00.00,0:00.00,0,0,0,0,1
11/12/2024,12:45:27PM,2,16x50,50,50,FR,1:11.03,0:00.00,17:02.65,1,50,650,0.82,177,179,0,2:22.04,1:11.02,129,49,58,58,19
11/12/2024,12:46:39PM,2,16x50,50,0,REST,0:00.00,0:08.61,17:11.25,1,0,650,0,0,178,177,0:00.00,0:00.00,0,0,0,0,1
11/12/2024,12:46:47PM,2,16x50,50,50,FR,1:09.03,0:00.00,18:20.28,1,50,700,0.84,178,182,0,2:18.12,1:09.06,126,50,57,57,19
11/12/2024,12:47:56PM,2,16x50,50,0,REST,0:00.00,0:18.61,18:38.90,1,0,700,0,0,178,175,0:00.00,0:00.00,0,0,0,0,1
11/12/2024,12:48:15PM,2,16x50,50,50,FR,1:12.44,0:00.00,19:51.34,1,50,750,0.8,175,179,0,2:24.93,1:12.46,131,49,59,59,19
11/12/2024,12:49:27PM,2,16x50,50,0,REST,0:00.00,0:07.91,19:59.25,1,0,750,0,0,178,178,0:00.00,0:00.00,0,0,0,0,1
11/12/2024,12:49:35PM,2,16x50,50,50,FR,1:09.48,0:00.00,21:08.73,1,50,800,0.83,179,180,0,2:18.89,1:09.44,126,50,57,57,19
11/12/2024,12:50:45PM,2,16x50,50,0,REST,0:00.00,0:43.33,21:52.05,1,0,800,0,0,180,161,0:00.00,0:00.00,0,0,0,0,3
11/12/2024,12:51:28PM,2,16x50,50,50,FR,1:07.79,0:00.00,22:59.85,1,50,850,0.86,169,175,0,2:15.50,1:07.75,123,49,55,55,17
11/12/2024,12:52:36PM,2,16x50,50,0,REST,0:00.00,0:10.83,23:10.68,1,0,850,0,0,176,175,0:00.00,0:00.00,0,0,0,0,1
11/12/2024,12:52:47PM,2,16x50,50,50,FR,1:07.54,0:00.00,24:18.22,1,50,900,0.88,176,179,0,2:15.13,1:07.57,122,49,54,54,18
11/12/2024,12:53:54PM,2,16x50,50,0,REST,0:00.00,0:15.01,24:33.23,1,0,900,0,0,180,179,0:00.00,0:00.00,0,0,0,0,0
11/12/2024,12:54:09PM,2,16x50,50,50,FR,1:09.22,0:00.00,25:42.45,1,50,950,0.83,178,181,0,2:18.50,1:09.25,126,50,57,57,18
11/12/2024,12:55:18PM,2,16x50,50,0,REST,0:00.00,0:10.53,25:52.98,1,0,950,0,0,181,180,0:00.00,0:00.00,0,0,0,0,1
11/12/2024,12:55:29PM,2,16x50,50,50,FR,1:09.07,0:00.00,27:02.05,1,50,1000,0.83,179,181,0,2:18.12,1:09.06,125,49,56,56,19
11/12/2024,12:56:38PM,2,16x50,50,0,REST,0:00.00,0:15.84,27:17.89,1,0,1000,0,0,180,178,0:00.00,0:00.00,0,0,0,0,0
