Swim Date,Swim Title,Swim Start Time,Swim End Time,Activity Variant,Pool Size,HR Device,Device,Location,Firmware
11/07/2024,,12:23:51PM,12:52:33PM,pool,50,oh1,goggles,,3.4.153

Swim Date,Swim Time,Set #,Set,Interval (m),Length (m),Strk,Move Time,Rest Time,Cumul Time,Len,Dist (m),Cumul Dist (m),Avg DPS,Avg BPM (moving),Max BPM,Min BPM (resting),Pace/100,Pace/50,SWOLF,Avg Strk Rate (strk/min),Strk Count,Avg Strk Count/Len,Calories
11/07/2024,12:23:51PM,1,1x100,100,50,FR,0:52.01,0:00.00,0:52.01,1,50,50,1.11,147,162,0,1:44.06,0:52.03,96,51,44,44,11
11/07/2024,12:24:43PM,1,1x100,100,50,FR,1:03.84,0:00.00,1:55.85,1,50,100,0.92,169,175,0,2:07.71,1:03.86,117,51,53,53,15
11/07/2024,12:25:47PM,1,1x100,100,0,REST,0:00.00,0:16.07,2:11.91,1,0,100,0,0,174,163,0:00.00,0:00.00,0,0,0,0,1
11/07/2024,12:26:03PM,2,10x50,50,50,FR,0:59.77,0:00.00,3:11.68,1,50,150,0.99,172,177,0,1:59.47,0:59.74,109,49,49,49,15
11/07/2024,12:27:03PM,2,10x50,50,0,REST,0:00.00,0:07.41,3:19.09,1,0,150,0,0,177,177,0:00.00,0:00.00,0,0,0,0,1
11/07/2024,12:27:10PM,2,10x50,50,50,FR,1:08.65,0:00.00,4:27.74,1,50,200,0.83,178,180,0,2:17.36,1:08.68,126,51,57,57,18
11/07/2024,12:28:19PM,2,10x50,50,0,REST,0:00.00,0:20.53,4:48.27,1,0,200,0,0,181,178,0:00.00,0:00.00,0,0,0,0,1
11/07/2024,12:28:39PM,2,10x50,50,50,FR,1:02.88,0:00.00,5:51.15,1,50,250,0.9,177,182,0,2:05.79,1:02.89,115,50,52,52,17
11/07/2024,12:29:42PM,2,10x50,50,0,REST,0:00.00,0:14.30,6:05.46,1,0,250,0,0,182,181,0:00.00,0:00.00,0,0,0,0,1
11/07/2024,12:29:56PM,2,10x50,50,50,FR,1:04.46,0:00.00,7:09.92,1,50,300,0.89,181,184,0,2:08.87,1:04.43,118,50,54,54,18
11/07/2024,12:31:01PM,2,10x50,50,0,REST,0:00.00,0:38.86,7:48.77,1,0,300,0,0,182,169,0:00.00,0:00.00,0,0,0,0,2
11/07/2024,12:31:40PM,2,10x50,50,50,FR,1:00.97,0:00.00,8:49.75,1,50,350,0.96,176,180,0,2:01.95,1:00.98,111,50,50,50,16
11/07/2024,12:32:41PM,2,10x50,50,0,REST,0:00.00,0:35.30,9:25.04,1,0,350,0,0,184,171,0:00.00,0:00.00,0,0,0,0,2
11/07/2024,12:33:16PM,2,10x50,50,50,FR,1:03.58,0:00.00,10:28.62,1,50,400,0.89,176,182,0,2:07.23,1:03.61,118,51,54,54,16
11/07/2024,12:34:20PM,2,10x50,50,0,REST,0:00.00,0:07.72,10:36.35,1,0,400,0,0,182,181,0:00.00,0:00.00,0,0,0,0,0
11/07/2024,12:34:30PM,2,10x50,50,0,REST,0:00.00,0:16.36,10:52.70,1,0,400,0,0,181,178,0:00.00,0:00.00,0,0,0,0,1
11/07/2024,12:34:46PM,2,10x50,50,50,FR,1:05.79,0:00.00,11:58.49,1,50,450,0.87,179,184,0,2:11.58,1:05.79,120,50,54,54,18
11/07/2024,12:35:52PM,2,10x50,50,0,REST,0:00.00,0:20.77,12:19.27,1,0,450,0,0,184,182,0:00.00,0:00.00,0,0,0,0,1
11/07/2024,12:36:13PM,2,10x50,50,50,FR,1:05.91,0:00.00,13:25.18,1,50,500,0.87,181,183,0,2:11.75,1:05.88,121,51,55,55,19
